,i,Seq,ground_state,cost
0,1,769876218614,0.12337662337662347,-1.1407407407407408
1,2,769876218614384186,0.1823176823176823,-1.222968845448992
2,3,769876218614384186816152,0.24425574425574426,-1.3231989424983477
3,4,769876218614384186816152627118,0.30519480519480524,-1.4392523364485983
4,5,769876218614384186816152627118211681,0.38111888111888115,-1.615819209039548
5,6,769876218614384186816152627118211681026016,0.40409590409590423,-1.6781223805532275
6,7,769876218614384186816152627118211681026016791118,0.46003996003996006,-1.8519888991674376
7,8,769876218614384186816152627118211681026016791118681116,0.494005994005994,-1.9763079960513326
8,9,769876218614384186816152627118211681026016791118681116865414,0.49800199800199807,-1.992039800995025
9,10,769876218614384186816152627118211681026016791118681116865414281486,0.548951048951049,-2.2170542635658914
10,11,769876218614384186816152627118211681026016791118681116865414281486124141,0.540959040959041,-2.1784548422198045
11,12,769876218614384186816152627118211681026016791118681116865414281486124141861591,0.5649350649350648,-2.2985074626865667
