,i,Seq,ground_state,cost
0,3,7698769876987698769871211111,1.7734530938123751,-1.2929032258064517
1,4,76987698769876987698712111118621411,1.7055888223552893,-1.4172560113154173
2,5,769876987698769876987121111186214111481811,1.629740518962076,-1.5879556259904912
3,6,7698769876987698769871211111862141114818111181111,1.6337325349301397,-1.5779527559055118
4,7,76987698769876987698712111118621411148181111811111618111,1.5658682634730539,-1.7671957671957672
5,8,769876987698769876987121111186214111481811118111116181116811111,1.5399201596806387,-1.8521256931608134
6,9,7698769876987698769871211111862141114818111181111161811168111118111816,1.5199600798403194,-1.9232245681381954
7,10,76987698769876987698712111118621411148181111811111618111681111181118161111161,1.5059880239520957,-1.9763313609467459
8,11,769876987698769876987121111186214111481811118111116181116811111811181611111611111116,1.5,-2.0
9,12,7698769876987698769871211111862141114818111181111161811168111118111816111116111111161153811,1.4580838323353293,-2.183006535947712
10,13,76987698769876987698712111118621411148181111811111618111681111181118161111161111111611538111611181,1.4580838323353293,-2.183006535947712
11,14,769876987698769876987121111186214111481811118111116181116811111811181611111611111116115381116111811116618,1.4520958083832336,-2.2119205298013247
12,15,7698769876987698769871211111862141114818111181111161811168111118111816111116111111161153811161118111166181111111,1.4281437125748504,-2.335664335664335
13,16,76987698769876987698712111118621411148181111811111618111681111181118161111161111111611538111611181111661811111118111111,1.4321357285429142,-2.314087759815242
14,17,769876987698769876987121111186214111481811118111116181116811111811181611111611111116115381116111811116618111111181111111611111,1.4540918163672654,-2.2021978021978024
15,18,7698769876987698769871211111862141114818111181111161811168111118111816111116111111161153811161118111166181111111811111116111111716111,1.4441117764471056,-2.2516853932584273
16,19,76987698769876987698712111118621411148181111811111618111681111181118161111161111111611538111611181111661811111118111111161111117161111118811,1.4321357285429142,-2.314087759815242
17,20,769876987698769876987121111186214111481811118111116181116811111811181611111611111116115381116111811116618111111181111111611111171611111188117641181,1.3762475049900198,-2.657824933687003
18,21,7698769876987698769871211111862141114818111181111161811168111118111816111116111111161153811161118111166181111111811111116111111716111111881176411811118181,1.374251497005988,-2.672
19,22,76987698769876987698712111118621411148181111811111618111681111181118161111161111111611538111611181111661811111118111111161111117161111118811764118111181811161268,1.3922155688622755,-2.5496183206106866
20,23,769876987698769876987121111186214111481811118111116181116811111811181611111611111116115381116111811116618111111181111111611111171611111188117641181111818111612681116811,1.3642714570858283,-2.745205479452055
21,24,7698769876987698769871211111862141114818111181111161811168111118111816111116111111161153811161118111166181111111811111116111111716111111881176411811118181116126811168116151118,1.3542914171656686,-2.8225352112676054
22,25,76987698769876987698712111118621411148181111811111618111681111181118161111161111111611538111611181111661811111118111111161111117161111118811764118111181811161268111681161511181111816,1.3582834331337326,-2.79108635097493
23,26,769876987698769876987121111186214111481811118111116181116811111811181611111611111116115381116111811116618111111181111111611111171611111188117641181111818111612681116811615111811118162161811,1.3383233532934131,-2.955752212389381
