,Generation,Sequence,Ground_state,Cost
0,1,35875567448747,0.35,-1.549
1,2,71418848854881,0.4,-1.656
2,3,25113717376871,0.4,-1.673
3,4,34413626376871,0.39,-1.64
4,5,31215172721881,0.38,-1.619
5,6,26515148721881,0.4,-1.656
6,7,31216853454311,0.4,-1.656
7,8,26415153456361,0.41,-1.684
8,9,26415153456861,0.4,-1.662
9,10,26516618846361,0.39,-1.651
10,11,35816673454361,0.42,-1.725
11,12,35816118854361,0.39,-1.645
12,13,26516618856361,0.41,-1.684
13,14,26516612725761,0.39,-1.64
14,15,26816618846361,0.41,-1.684
15,16,35816618846361,0.4,-1.678
16,17,25816652728361,0.38,-1.619
17,18,25816618646361,0.41,-1.69
18,19,26516618846361,0.42,-1.725
19,20,26516618648361,0.4,-1.673
