,Generation,Sequence,Ground_state,Cost
0,1,21321122213231,0.1,-1.107
1,2,21321122313231,0.09,-1.105
2,3,21121122113231,0.09,-1.105
3,4,11121122113231,0.13,-1.153
4,5,11121222113231,0.13,-1.15
5,6,11121222113231,0.17,-1.203
6,7,12121222111231,0.15,-1.18
7,8,12121222111231,0.15,-1.175
8,9,12121222111231,0.14,-1.161
9,10,12121224111131,0.17,-1.203
10,11,12121121111131,0.22,-1.28
11,12,12121121111131,0.2,-1.245
12,13,12121121121131,0.19,-1.239
13,14,12121121121131,0.14,-1.164
14,15,12121121121131,0.15,-1.172
